Date,Product Revenue
9/4/16,12238.13
9/11/16,15037.42
9/18/16,15237.92
9/25/16,15968.08
10/2/16,18253.1
10/9/16,14311
10/16/16,15491
10/23/16,12314
10/30/16,11204.61
11/6/16,13892.14
11/13/16,15598.08
11/20/16,15812
11/27/16,16123
12/4/16,14512
12/11/16,15153.61
12/18/16,15485.76
12/25/16,16123
1/1/17,18123
1/8/17,16712
1/15/17,18197
1/22/17,18172
1/29/17,17121
2/5/17,16891
2/12/17,19823
2/19/17,18123
2/26/17,17123
3/5/17,18898
3/12/17,19897
3/19/17,20689.5
3/26/17,20257.98
4/2/17,8179
4/9/17,7289
4/16/17,8898
4/23/17,10124
4/30/17,10817
5/7/17,16800
5/14/17,23001
5/21/17,25023
5/28/17,22918
6/4/17,24151
6/11/17,26882
6/18/17,27631
6/25/17,25910
7/2/17,28091
7/9/17,29015
7/16/17,30123
7/23/17,31998
7/30/17,30181
8/6/17,29124
8/13/17,32429
8/20/17,33928
8/27/17,33981
